hours,remote,education,seniority,country,job_published_at,y_pred,comp_dol
Full-Time,true,Unclear,Unclear Seniority,Austria,2023-02-13,-0.5865661635511215,-0.9799715011799738
Full-Time,Unclear,High School,Unclear Seniority,United States,2023-05-23,-0.8468437669078466,-0.8631727387600958
Full-Time,Unclear,High School,Unclear Seniority,United States,2023-05-25,-0.8468437669078466,-0.9623055294973154
Full-Time,Unclear,Bachelors,Manager,United States,2023-04-19,0.4020596103647615,-0.6344047601357427
Unclear,Unclear,Bachelors,Unclear Seniority,United States,2023-05-17,-0.03814437915526171,-0.43502711209854605
Unclear,true,Unclear,Unclear Seniority,,2023-04-25,0.4054926840700989,0.021730398556230022
Full-Time,Unclear,Bachelors,IC,United States,2023-01-24,-0.05993670109270639,0.7874517736753408
Contract,Unclear,Unclear,Unclear Seniority,United States,2023-05-12,-0.13818938905783557,-0.46664157581121707
Full-Time,Unclear,Unclear,Unclear Seniority,United States,2023-04-21,-0.07582341830059793,1.494408374285321
Unclear,Unclear,Unclear,Unclear Seniority,United States,2023-05-12,0.06996487757964275,-0.4996858393902903
Unclear,Unclear,Masters,Unclear Seniority,India,2023-01-23,-0.03356898117835378,0.021730398556230022
Unclear,true,Unclear,Unclear Seniority,United States,2023-03-07,0.9373660026560691,-0.3314460551102973
Full-Time,Unclear,Bachelors,Staff IC,United States,2023-05-16,0.853143746773787,1.2370443983329236
Full-Time,Unclear,Unclear,Manager,United States,2023-05-19,0.12233765098215377,-0.4675947757221519
Full-Time,Unclear,Unclear,Unclear Seniority,Uganda,2023-06-02,-0.45812778088287404,-0.1339748068949703
Unclear,Unclear,Bachelors,Unclear Seniority,,2023-05-30,0.3082159772667634,0.17740383067706586
Full-Time,false,Unclear,Unclear Seniority,Brazil,2023-04-19,-0.3864664577436274,-0.09425814393935344
Full-Time,Unclear,Bachelors,Unclear Seniority,United States,2023-03-03,0.24397590878850628,0.021730398556230022
Full-Time,Unclear,Unclear,Unclear Seniority,Bulgaria,2023-06-02,-0.45812778088287404,-0.1339748068949703
Hourly,Unclear,Bachelors,Unclear Seniority,United States,2023-03-02,-0.5319594247617437,-0.34844478685530134
Full-Time,Unclear,Unclear,Senior IC,United States,2023-03-14,0.4376022631939808,3.9282454802055216
Full-Time,Unclear,Unclear,Unclear Seniority,United States,2023-04-25,-0.07582341830059793,-0.9521380637806776
Full-Time,Unclear,Bachelors,Chief,United States,2023-05-30,1.5375908182330822,2.0504416556639566
Full-Time,true,Unclear,Staff IC,,2023-05-08,0.6382031013456823,0.6603584522173668
Full-Time,Unclear,Bachelors,Unclear Seniority,United States,2023-03-08,0.24397590878850628,-0.9675481290074569
Full-Time,Unclear,Unclear,Senior IC,United States,2023-05-12,0.4376022631939808,0.7874517736753408
Full-Time,Unclear,Bachelors,Senior IC,United States,2023-05-15,0.4401317614849217,1.7883116801568855
Full-Time,Unclear,Unclear,Unclear Seniority,United States,2023-05-12,-0.07582341830059793,-1.5200863440459986
Full-Time,true,Bachelors,Unclear Seniority,United States,2023-05-31,0.09348577226159747,0.021730398556230022
Full-Time,Unclear,Unclear,Senior IC,Canada,2023-05-31,-0.4576885754143632,0.021730398556230022
Full-Time,false,Bachelors,IC,United States,2023-04-11,-0.2048991468957131,0.6603584522173668
Unclear,Unclear,Unclear,Senior Manager,United States,2023-05-04,0.5434741365330349,0.04872184270086724
Full-Time,Unclear,High School,Unclear Seniority,United States,2023-05-24,-0.8468437669078466,-0.9127391341287057
Full-Time,Unclear,Unclear,Manager,United States,2023-05-26,0.12233765098215377,-0.17369146985058714
Full-Time,Unclear,Unclear,Junior IC,United States,2023-05-01,-0.498472432882485,-0.9521380637806776
Unclear,Unclear,Unclear,Unclear Seniority,India,2023-02-11,0.054764280364189205,0.021730398556230022
Full-Time,true,Bachelors,Unclear Seniority,Lebanon,2023-01-17,0.009011579784382271,0.021730398556230022
Full-Time,Unclear,Unclear,Unclear Seniority,United States,2023-02-28,-0.07582341830059793,0.5103724462317754
Unclear,true,Bachelors,IC,United States,2023-01-13,0.2952796786328985,-0.7290892846219332
Intern,Unclear,Unclear,Intern,United States,2023-04-27,-0.579196344091002,-0.4996858393902903
Full-Time,Unclear,Bachelors,Unclear Seniority,United States,2023-05-22,0.24397590878850628,0.3632778133093527
Unclear,true,Unclear,Staff IC,United States,2023-06-01,1.1366339819339806,2.2126127338443315
Full-Time,Unclear,High School,Unclear Seniority,,2023-05-18,-0.8388852364734933,-0.8885914030516906
Full-Time,true,Unclear,Staff IC,United States,2023-01-04,1.38257151477102,1.089298412138029
Full-Time,Unclear,Unclear,Unclear Seniority,United States,2023-05-15,-0.07582341830059793,0.19608654893138802
Unclear,Unclear,Unclear,Junior IC,,2023-05-19,-0.43293246683831554,-0.1681311370368008
Full-Time,Unclear,Unclear,Unclear Seniority,United States,2023-05-17,-0.07582341830059793,-0.3643314520375481
Full-Time,Unclear,Bachelors,Unclear Seniority,United States,2023-05-10,0.24397590878850628,0.4458884722570358
Full-Time,Unclear,High School,Unclear Seniority,United States,2023-05-15,-0.8468437669078466,-0.9953497930763887
Full-Time,Unclear,Bachelors,Unclear Seniority,United States,2023-05-17,0.24397590878850628,0.3751928121960378
Full-Time,Unclear,Unclear,Junior IC,Canada,2023-04-04,-0.7093365764928363,-0.03627181602415283
Full-Time,true,Bachelors,Staff IC,,2023-05-18,0.577195895624739,1.6294450283344182
Unclear,Unclear,Unclear,Unclear Seniority,United States,2023-05-31,0.06996487757964275,1.0178084188179186
Full-Time,Unclear,High School,Manager,United States,2023-05-08,-0.7223608559725008,-0.7297247512292232
Full-Time,Unclear,Bachelors,Unclear Seniority,United States,2023-05-02,0.24397590878850628,1.176675070640386
Full-Time,Unclear,Bachelors,Manager,United States,2023-05-02,0.4020596103647615,0.5412084633505163
Full-Time,Unclear,Unclear,Senior IC,United States,2023-06-02,0.4376022631939808,-0.491424773495522
